title,make,model,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR,VXR,VXL
Mitsubishi Ek Wagon 2011,Mitsubishi,Ek,2011,62405,unknownLocation,Petrol,Lahore,Silver,660,Imported,automatic,147500,0,0
Daihatsu Mira L 2018,Daihatsu,Mira,2018,34000,37-A Main Boulevard Shok Chowk Johar Town Lahore.,Petrol,Un-Registered,Black,660,Imported,automatic,225000,0,0
Honda Civic Oriel 2022,Honda,Civic,2022,5,unknownLocation,Petrol,Un-Registered,Black,1500,local,automatic,605000,0,0
Toyota Corolla XLi VVTi 2017,Toyota,Corolla,2017,30000,unknownLocation,Petrol,Islamabad,White,1300,local,unknown,295000,0,0
Changan Karvaan Plus 2022,Changan,Karvaan,2022,5,unknownLocation,Petrol,Un-Registered,White,1000,local,unknown,212500,0,0
Suzuki Cultus VXR 2007,Suzuki,Cultus,2007,100000,unknownLocation,Petrol,Lahore,White,1000,local,unknown,67500,1,0
Honda City 1.3 i-VTEC Prosmatec 2019,Honda,City,2019,31424,"37 Commercial Zone, Liberty Market Lahore",Petrol,Karachi,White,1300,local,automatic,270000,0,0
Suzuki Cultus VXL 2006,Suzuki,Cultus,2006,170000,unknownLocation,Petrol,Lahore,Gold,1000,local,unknown,65000,0,1
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2011,Honda,Civic,2011,130000,unknownLocation,Petrol,Lahore,Grey,1800,local,automatic,228500,0,0
Daihatsu Mira Custom X 2010,Daihatsu,Mira,2010,65000,unknownLocation,Petrol,Lahore,Gold,660,Imported,automatic,119000,0,0
KIA Sportage AWD 2020,KIA,Sportage,2020,180,unknownLocation,Petrol,Un-Registered,Black,2000,local,automatic,590000,0,0
Suzuki Cultus Auto Gear Shift 2020,Suzuki,Cultus,2020,28000,unknownLocation,Petrol,Karachi,White,1000,local,automatic,249500,0,0
Suzuki Alto VXR 2008,Suzuki,Alto,2008,140000,unknownLocation,Petrol,Sindh,Green,1000,local,unknown,64000,1,0
Suzuki Alto VXR 2019,Suzuki,Alto,2019,45000,Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur,Petrol,Lahore,White,660,local,unknown,162500,1,0
Toyota Corolla SE Saloon Automatic 2004,Toyota,Corolla,2004,260000,unknownLocation,Petrol,Lahore,Metallic Green,1600,local,automatic,185000,0,0
Honda Civic VTi 1.8 i-VTEC 2012,Honda,Civic,2012,82000,unknownLocation,Petrol,Sindh,Black,1800,local,unknown,220000,0,0
Toyota Yaris ATIV CVT 1.3 2021,Toyota,Yaris,2021,9000,unknownLocation,Petrol,Gujranwala,Black,1300,local,automatic,300000,0,0
Toyota Premio X EX Package 1.8 2017,Toyota,Premio,2017,35000,Block-A Usaid plaza blue area Islamabad,Petrol,Un-Registered,Burgundy,1800,Imported,automatic,785000,0,0
Suzuki Cultus VXL 2021,Suzuki,Cultus,2021,11000,Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur,Petrol,Punjab,White,1000,local,unknown,262500,0,1
Toyota Vitz B Intelligent Package 1.0 2008,Toyota,Vitz,2008,102000,unknownLocation,Petrol,Islamabad,White,1000,Imported,automatic,191500,0,0
MG HS 1.5 Turbo 2021,MG,HS,2021,90,"148/4-A, Sehgal Plaza, Murree Road,Saddar, Rawalpindi Cantt",Petrol,Un-Registered,White,1500,local,automatic,1174800,0,0
Suzuki Bolan 2019,Suzuki,Bolan,2019,16300,unknownLocation,Petrol,Islamabad,White,800,local,unknown,117000,0,0
Toyota Corona 1994,Toyota,Corona,1994,1,unknownLocation,Petrol,Karachi,Grey,1600,local,unknown,140000,0,0
Honda Vezel Hybrid Z 2016,Honda,Vezel,2016,83000,37-A Main Boulevard Shok Chowk Johar Town Lahore.,CompressedNaturalGas,Un-Registered,Navy,1500,Imported,automatic,450000,0,0
Toyota Vitz F Limited 1.0 2019,Toyota,Vitz,2019,60085,189-B PakArab Society Ferozpur Road15-A Moulana Shoukat Ali Road,Petrol,Un-Registered,Gold,1000,Imported,automatic,307500,0,0
Nissan Dayz Highway Star 2015,Nissan,Dayz,2015,80000,unknownLocation,Petrol,Rawalpindi,Grey,1000,Imported,automatic,162000,0,0
Suzuki Mehran VX (CNG) 2012,Suzuki,Mehran,2012,16,unknownLocation,CompressedNaturalGas,Abbottabad,White,800,local,unknown,58000,0,0
Suzuki Cultus Limited Edition 2016,Suzuki,Cultus,2016,66000,unknownLocation,Petrol,Lahore,White,1000,local,unknown,128000,0,0
Toyota Corolla XLi 2004,Toyota,Corolla,2004,275000,unknownLocation,Petrol,Faisalabad,White,1300,local,unknown,125000,0,0
Suzuki Every PA 2009,Suzuki,Every,2009,85000,unknownLocation,Petrol,Islamabad,White,660,Imported,automatic,136500,0,0
Suzuki Alto VXR 2021,Suzuki,Alto,2021,8500,unknownLocation,Petrol,Rawalpindi,White,660,local,unknown,182500,1,0
Suzuki Cultus VXR 2007,Suzuki,Cultus,2007,95000,unknownLocation,Petrol,Lahore,White,1000,local,unknown,66500,1,0
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2009,Honda,Civic,2009,130000,unknownLocation,Petrol,Karachi,Silver,1800,local,automatic,155000,0,0
Suzuki Every 2012,Suzuki,Every,2012,99000,unknownLocation,Petrol,Lahore,White,1000,Imported,automatic,129000,0,0
Toyota Land Cruiser VX 4.2D 2002,Toyota,Land,2002,214000,Blue Area Islamabad,CompressedNaturalGas,Islamabad,White,4200,Imported,automatic,620000,0,0
Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,Civic,2021,4500,unknownLocation,Petrol,Islamabad,White,1800,local,automatic,477000,0,0
Toyota Fortuner 2.8 Sigma 4 2019,Toyota,Fortuner,2019,750000,unknownLocation,CompressedNaturalGas,Islamabad,White,2800,local,automatic,968500,0,0
Honda Civic VTi Oriel 1.6 2004,Honda,Civic,2004,130000,unknownLocation,Petrol,Sindh,White,1600,local,automatic,135000,0,0
Toyota Vitz F 1.0 2018,Toyota,Vitz,2018,29000,"50-E, Moulana Shaukat Ali Road, Johar town Lahore",Petrol,Un-Registered,Black,1000,Imported,automatic,289500,0,0
Honda Freed + Hybrid B 2012,Honda,Freed,2012,78000,unknownLocation,Petrol,Karachi,White,1500,Imported,automatic,245000,0,0
Toyota Prado TX L Package 2.7 2017,Toyota,Prado,2017,27500,unknownLocation,Petrol,Un-Registered,Pearl White,2700,Imported,automatic,25000000,0,0
Toyota Prado TX 2.7 2012,Toyota,Prado,2012,90000,unknownLocation,Petrol,Islamabad,White,2700,Imported,automatic,14200000,0,0
Toyota Prado TX 4.0 2013,Toyota,Prado,2013,70000,unknownLocation,Petrol,Islamabad,White,4000,Imported,automatic,15900000,0,0
Suzuki Alto VXR 2010,Suzuki,Alto,2010,1234,unknownLocation,Petrol,Peshawar,White,1000,local,unknown,72000,1,0
Honda City 1.2L M/T 2022,Honda,City,2022,100,unknownLocation,Petrol,Un-Registered,White,1200,local,unknown,340000,0,0
Honda Civic VTi Oriel 1.6 2001,Honda,Civic,2001,245467,unknownLocation,Petrol,Sindh,Pink,1600,local,unknown,96000,0,0
Suzuki Wagon R VXL 2022,Suzuki,Wagon,2022,10,unknownLocation,Petrol,Un-Registered,White,1000,local,unknown,219000,0,1
Toyota Rush G A/T 2019,Toyota,Rush,2019,61000,unknownLocation,Petrol,Sindh,Black,1500,Imported,automatic,570000,0,0
Honda Civic Oriel 1.8 i-VTEC CVT 2018,Honda,Civic,2018,33000,unknownLocation,Petrol,Lahore,Black,1800,local,automatic,387500,0,0
Suzuki Alto ECO-L 2013,Suzuki,Alto,2013,100000,unknownLocation,Petrol,Islamabad,Blue,660,Imported,automatic,147500,0,0
Proton Saga 1.3L Standard M/T 2021,Proton,Saga,2021,4000,unknownLocation,Petrol,Islamabad,White,1300,Imported,unknown,235000,0,0
Toyota Fortuner 2.8 Sigma 4 2021,Toyota,Fortuner,2021,15500,unknownLocation,CompressedNaturalGas,Lahore,Black,2800,local,automatic,11100000,0,0
Suzuki Mehran VX Euro II 2016,Suzuki,Mehran,2016,74000,unknownLocation,Petrol,Punjab,Grey,800,local,unknown,85000,0,0
Honda Civic VTi 1.8 i-VTEC 2014,Honda,Civic,2014,200000,unknownLocation,Petrol,Islamabad,White,1800,local,unknown,245000,0,0
Toyota Corolla Altis Grande CVT-i 1.8 2015,Toyota,Corolla,2015,95000,unknownLocation,Petrol,Islamabad,Grey,1800,local,automatic,290000,0,0
Audi e-tron 50 Quattro 230 kW 2022,Audi,e-tron,2022,50,96 FeroazPur road Ichra Lahore,CompressedNaturalGas,Un-Registered,White,1439,local,automatic,18500000,0,0
Honda City 1.3 i-VTEC 2017,Honda,City,2017,72000,unknownLocation,Petrol,Islamabad,Black,1300,local,unknown,265000,0,0
KIA Sportage AWD 2021,KIA,Sportage,2021,7500,"New M.A jinnah road, karachi, sindh, pakistan",Petrol,Un-Registered,White,2000,local,automatic,565000,0,0
Suzuki Alto VXR 2021,Suzuki,Alto,2021,5300,unknownLocation,Petrol,Multan,White,660,local,unknown,182500,1,0
Suzuki Wagon R Hybrid FZ 2018,Suzuki,Wagon,2018,48000,Hockey Stadium Near Gourmet Bakery,CompressedNaturalGas,Islamabad,Silver,660,Imported,automatic,265000,0,0
Toyota Prado TX 2.7 2003,Toyota,Prado,2003,125000,Main Boulevard DHA Lahore,Petrol,Lahore,Silver,2700,Imported,automatic,580000,0,0
Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,Civic,2021,4500,unknownLocation,Petrol,Islamabad,White,1800,local,automatic,477000,0,0
Suzuki Liana LXi 2007,Suzuki,Liana,2007,147000,unknownLocation,Petrol,Karachi,White,1300,local,unknown,83500,0,0
Toyota Vitz F 1.0 2018,Toyota,Vitz,2018,38000,Hockey Stadium Near Gourmet Bakery,Petrol,Lahore,White,1000,local,automatic,275000,0,0
