title,make,model,trim ,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR
Suzuki Alto VXR 2021,Suzuki,Alto,VXR    ,2021,8500,,Petrol,Rawalpindi,White,660,,,182500
Suzuki Cultus VXR 2007,Suzuki,Cultus,VXR    ,2007,95000,,Petrol,Lahore,White,1000,,,66500
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2009,Honda,Civic,VTi Oriel Prosmatec 1.8 i-VTEC,2009,130000,,Petrol,Karachi,Silver,1800,,Automatic,155000
Suzuki Every 2012,Suzuki,Every,    ,2012,99000,,Petrol,Lahore,White,1000,Imported,Automatic,129000
Toyota Land Cruiser VX 4.2D 2002,Toyota,Land,Cruiser VX 4.2D  ,2002,214000,Blue Area Islamabad,,Islamabad,White,4200,Imported,Automatic,620000
Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,Civic,Oriel 1.8 i-VTEC CVT ,2021,4500,,Petrol,Islamabad,White,1800,,Automatic,477000
Toyota Fortuner 2.8 Sigma 4 2019,Toyota,Fortuner,2.8 Sigma 4  ,2019,750000,,,Islamabad,White,2800,,Automatic,968500
Honda Civic VTi Oriel 1.6 2004,Honda,Civic,VTi Oriel 1.6  ,2004,130000,,Petrol,Sindh,White,1600,,Automatic,135000
Toyota Vitz F 1.0 2018,Toyota,Vitz,F 1   ,2018,29000,"50-E, Moulana Shaukat Ali Road, Johar town Lahore",Petrol,Un-Registered,Black,1000,Imported,Automatic,289500
Honda Freed + Hybrid B 2012,Honda,Freed,+ Hybrid B  ,2012,78000,,Petrol,Karachi,White,1500,Imported,Automatic,245000
Toyota Prado TX L Package 2.7 2017,Toyota,Prado,TX L Package 2.7 ,2017,27500,,Petrol,Un-Registered,Pearl White,2700,Imported,Automatic,25000000
Toyota Prado TX 2.7 2012,Toyota,Prado,TX 2.7   ,2012,90000,,Petrol,Islamabad,White,2700,Imported,Automatic,14200000
Toyota Prado TX 4.0 2013,Toyota,Prado,TX 4   ,2013,70000,,Petrol,Islamabad,White,4000,Imported,Automatic,15900000
Suzuki Alto VXR 2010,Suzuki,Alto,VXR    ,2010,1234,,Petrol,Peshawar,White,1000,,,72000
Honda City 1.2L M/T 2022,Honda,City,1.2L M/T   ,2022,100,,Petrol,Un-Registered,White,1200,,,340000
Honda Civic VTi Oriel 1.6 2001,Honda,Civic,VTi Oriel 1.6  ,2001,245467,,Petrol,Sindh,Pink,1600,,,96000
Suzuki Wagon R VXL 2022,Suzuki,Wagon,R VXL   ,2022,10,,Petrol,Un-Registered,White,1000,,,219000
Toyota Rush G A/T 2019,Toyota,Rush,G A/T   ,2019,61000,,Petrol,Sindh,Black,1500,Imported,Automatic,570000
