web-scraper-order,web-scraper-start-url,links,links-href,title,mileage,location,registeryear,fueltype,registeredcity,color,enginecapacity,assembly,bodytype,automatic,pages,pages-href,price
"1648913245-295","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2012 VTi 1.8 i-VTEC for Sale","https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-rawalpindi-6065928","Honda Civic VTi 1.8 i-VTEC 2012","117,000 km","null","null","Petrol","Islamabad","Silver","1800 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 23 lacs"
"1648913120-270","https://www.pakwheels.com/used-cars/search/-/","Toyota Aqua  2014 S for Sale","https://www.pakwheels.com/used-cars/toyota-aqua-2014-for-sale-in-peshawar-6065909","Toyota Aqua S 2014","120,000 km","null","null","null","Islamabad","Pearl White","1500 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 28.75 lacs"
"1648913455-338","https://www.pakwheels.com/used-cars/search/-/","Suzuki Liana  2008 LXi for Sale","https://www.pakwheels.com/used-cars/suzuki-liana-2008-for-sale-in-rawalpindi-6065962","Suzuki Liana LXi 2008","110,355 km","null","null","Petrol","Islamabad","White","1300 cc","null","null","null","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 11.3 lacs"
"1648913187-284","https://www.pakwheels.com/used-cars/search/-/","Suzuki Every  2016 PA for Sale","https://www.pakwheels.com/used-cars/suzuki-every-2016-for-sale-in-lahore-5909029","Suzuki Every PA 2016","157,383 km","189-B PakArab Society Ferozpur Road15-A Moulana Shoukat Ali Road","null","Petrol","Un-Registered","Yellow","660 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 16.5 lacs"
"1648913761-402","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2014 Altis Grande CVT-i 1.8 fo...","https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-islamabad-6065727","Toyota Corolla Altis Grande CVT-i 1.8 2014","91,000 km","null","null","Petrol","Lahore","White","1800 cc","Imported","null","Automatic","","","PKR 27.9 lacs"
"1648913487-345","https://www.pakwheels.com/used-cars/search/-/","Suzuki Khyber  1989 Limited Edition for Sale","https://www.pakwheels.com/used-cars/suzuki-khyber-1989-for-sale-in-islamabad-6065971","Suzuki Khyber Limited Edition 1989","150,000 km","null","null","Petrol","Lahore","Grey","1000 cc","Imported","null","null","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 3.5 lacs"
"1648913384-324","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2022 Oriel for Sale","https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-multan-6059301","Honda Civic Oriel 2022","5 km","null","null","Petrol","Un-Registered","Black","1500 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 60.5 lacs"
"1648913273-301","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2018 1.8 i-VTEC CVT for Sale","https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-quetta-6065934","Honda Civic 1.8 i-VTEC CVT 2018","100,000 km","null","null","Petrol","Karachi","White","1800 cc","Imported","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 36 lacs"
"1648913492-346","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale","https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-6065972","Honda Civic Oriel 1.8 i-VTEC CVT 2018","33,000 km","null","null","Petrol","Lahore","Black","1800 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 38.75 lacs"
"1648913341-315","https://www.pakwheels.com/used-cars/search/-/","Honda Civic Reborn 2010 VTi 1.8 i-VTEC for Sale","https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-sialkot-6065947","Honda Civic VTi 1.8 i-VTEC 2010","200,000 km","null","null","Petrol","Lahore","Silver","1800 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 17 lacs"
"1648913506-349","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla 9th Generation 2006 GLi 1.3 for...","https://www.pakwheels.com/used-cars/toyota-corolla-2006-for-sale-in-karachi-6063055","Toyota Corolla GLi 1.3 2006","123,000 km","null","null","Petrol","Karachi","Blue","1300 cc","null","null","null","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 13.5 lacs"
"1648913459-339","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2022 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-6065963","Suzuki Alto VXR 2022","25 km","null","null","Petrol","Un-Registered","Silver","660 cc","null","null","null","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 18 lacs"
"1648913379-323","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2022 Oriel for Sale","https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-multan-6059319","Honda Civic Oriel 2022","10 km","null","null","Petrol","Un-Registered","White","1500 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 60.5 lacs"
"1648913268-300","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2021 VXL for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-bahawalpur-6051620","Suzuki Cultus VXL 2021","11,000 km","Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur","2021","Petrol","Punjab","White","1000 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 26.25 lacs"
